frame_filename,timestamp
frame_00001.jpg,00:00:01
frame_00002.jpg,00:00:02
frame_00003.jpg,00:00:03
frame_00004.jpg,00:00:04
frame_00005.jpg,00:00:05
frame_00006.jpg,00:00:06
frame_00007.jpg,00:00:07
frame_00008.jpg,00:00:08
frame_00009.jpg,00:00:09
frame_00010.jpg,00:00:10
frame_00011.jpg,00:00:11
frame_00012.jpg,00:00:12
frame_00013.jpg,00:00:13
frame_00014.jpg,00:00:14
frame_00015.jpg,00:00:15
frame_00016.jpg,00:00:16
frame_00017.jpg,00:00:17
frame_00018.jpg,00:00:18
frame_00019.jpg,00:00:19
frame_00020.jpg,00:00:20
frame_00021.jpg,00:00:21
frame_00022.jpg,00:00:22
frame_00023.jpg,00:00:23
frame_00024.jpg,00:00:24
frame_00025.jpg,00:00:25
frame_00026.jpg,00:00:26
frame_00027.jpg,00:00:27
frame_00028.jpg,00:00:28
frame_00029.jpg,00:00:29
frame_00030.jpg,00:00:30
frame_00031.jpg,00:00:31
frame_00032.jpg,00:00:32
frame_00033.jpg,00:00:33
frame_00034.jpg,00:00:34
frame_00035.jpg,00:00:35
frame_00036.jpg,00:00:36
frame_00037.jpg,00:00:37
frame_00038.jpg,00:00:38
frame_00039.jpg,00:00:39
frame_00040.jpg,00:00:40
frame_00041.jpg,00:00:41
frame_00042.jpg,00:00:42
frame_00043.jpg,00:00:43
frame_00044.jpg,00:00:44
frame_00045.jpg,00:00:45
frame_00046.jpg,00:00:46
frame_00047.jpg,00:00:47
frame_00048.jpg,00:00:48
frame_00049.jpg,00:00:49
frame_00050.jpg,00:00:50
frame_00051.jpg,00:00:51
frame_00052.jpg,00:00:52
frame_00053.jpg,00:00:53
frame_00054.jpg,00:00:54
frame_00055.jpg,00:00:55
frame_00056.jpg,00:00:56
frame_00057.jpg,00:00:57
frame_00058.jpg,00:00:58
frame_00059.jpg,00:00:59
frame_00060.jpg,00:01:00
frame_00061.jpg,00:01:01
frame_00062.jpg,00:01:02
frame_00063.jpg,00:01:03
frame_00064.jpg,00:01:04
frame_00065.jpg,00:01:05
frame_00066.jpg,00:01:06
frame_00067.jpg,00:01:07
frame_00068.jpg,00:01:08
frame_00069.jpg,00:01:09
frame_00070.jpg,00:01:10
frame_00071.jpg,00:01:11
frame_00072.jpg,00:01:12
frame_00073.jpg,00:01:13
frame_00074.jpg,00:01:14
frame_00075.jpg,00:01:15
frame_00076.jpg,00:01:16
frame_00077.jpg,00:01:17
frame_00078.jpg,00:01:18
frame_00079.jpg,00:01:19
frame_00080.jpg,00:01:20
frame_00081.jpg,00:01:21
frame_00082.jpg,00:01:22
frame_00083.jpg,00:01:23
frame_00084.jpg,00:01:24
frame_00085.jpg,00:01:25
frame_00086.jpg,00:01:26
frame_00087.jpg,00:01:27
frame_00088.jpg,00:01:28
frame_00089.jpg,00:01:29
frame_00090.jpg,00:01:30
frame_00091.jpg,00:01:31
frame_00092.jpg,00:01:32
frame_00093.jpg,00:01:33
frame_00094.jpg,00:01:34
frame_00095.jpg,00:01:35
